Date,Adj Close
2019-06-01,19.071928024291992
2019-07-01,19.0111026763916
2019-08-01,19.03717041015625
2019-09-01,19.03717041015625
2019-10-01,19.47161102294922
2019-11-01,19.906049728393555
2019-12-01,19.932117462158203
2020-01-01,20.576345443725586
2020-02-01,19.561006546020508
2020-03-01,17.09004783630371
2020-04-01,18.30306625366211
2020-05-01,19.372312545776367
2020-06-01,20.342727661132812
2020-07-01,21.780376434326172
2020-08-01,22.65195083618164
2020-09-01,22.56209945678711
2020-10-01,22.07689094543457
2020-11-01,23.963804244995117
2020-12-01,24.880306243896484
2021-01-01,25.003992080688477
2021-02-01,25.24073600769043
2021-03-01,25.16789436340332
2021-04-01,26.12398338317871
2021-05-01,26.670316696166992
2021-06-01,26.724950790405273
2021-07-01,27.280391693115234
2021-08-01,28.17274284362793
2021-09-01,26.64299964904785
2021-10-01,28.163637161254883
2021-11-01,27.517139434814453
2021-12-01,25.85991859436035
2022-01-01,25.26796531677246
2022-02-01,24.05335235595703
2022-03-01,24.600923538208008
2022-04-01,22.32103157043457
2022-05-01,22.062179565429688
2022-06-01,19.9515380859375
2022-07-01,22.2513427734375
2022-08-01,20.489152908325195
2022-09-01,18.38846778869629
2022-10-01,19.423877716064453
2022-11-01,21.972576141357422
2022-12-01,20.777873992919922
2023-01-01,22.819087982177734
2023-02-01,22.32107162475586
2023-03-01,23.645793914794922
2023-04-01,23.705554962158203
2023-05-01,23.65575408935547
2023-06-01,24.65178680419922
2023-07-01,24.761350631713867
2023-08-01,24.044206619262695
2023-09-01,22.978452682495117
2023-10-01,22.510318756103516
2023-11-01,25.100000381469727
2023-12-01,26.414762496948242
2024-01-01,26.770000457763672
2024-02-01,28.15999984741211
2024-03-01,28.719999313354492
2024-04-01,27.389999389648438
2024-05-01,28.40999984741211
